frequency,Re(Z),Img(Z)
9120.0,38911.400000000125,-29191.20000000022
8320.0,41778.1999999997,-28502.800000000472
7590.0,44476.40000000026,-27775.79999999963
6920.0,46616.60000000025,-27039.200000000004
6310.0,49376.600000000246,-25781.399999999667
5750.0,51022.20000000041,-24776.60000000041
5250.0,52626.600000000166,-23487.200000000103
4790.0,54726.59999999979,-22172.400000000594
4370.0,55841.60000000028,-21064.40000000002
3980.0,56989.20000000027,-19860.399999999416
3630.0,58130.00000000009,-18210.400000000085
3310.0,59666.800000000345,-16812.60000000039
3020.0,60308.80000000007,-16094.799999999856
2750.0,60823.599999999984,-13678.879999999905
2510.0,61341.99999999985,-13403.679999999636
2290.0,62391.59999999976,-12270.599999999644
2090.0,63024.40000000014,-11616.919999999736
1910.0,63437.20000000002,-10785.53999999988
1740.0,63607.000000000015,-9240.379999999996
1580.0,64055.000000000095,-8776.919999999838
1450.0,64352.4000000003,-8066.500000000219
1320.0,64574.00000000016,-7456.840000000015
1200.0,64522.39999999992,-6440.960000000339
1100.0,64685.60000000007,-6008.800000000222
1000.0,65075.20000000016,-5359.779999999842
912.0,65398.6000000001,-5014.880000000069
832.0,65195.19999999998,-4400.120000000095
759.0,65560.2,-4171.000000000416
692.0,65478.999999999935,-3810.719999999823
631.0,65696.79999999994,-3414.03999999995
575.0,65776.79999999974,-3069.5800000000854
525.0,65774.19999999981,-2847.199999999836
479.0,65759.00000000016,-2665.099999999548
437.0,65893.60000000049,-2289.539999999597
398.0,65898.00000000047,-2051.779999999829
363.0,65862.79999999981,-1934.6800000002472
331.0,65878.3999999997,-1765.2799999999922
302.0,65974.1999999998,-1720.9719999997585
275.0,65941.99999999997,-1506.4359999999715
251.0,65830.39999999989,-1449.1500000001083
229.0,65775.80000000013,-1327.239999999635
209.0,65959.8,-1298.7799999997735
191.0,65937.20000000024,-1335.879999999734
174.0,65988.1999999999,-1240.2600000001614
158.0,65943.00000000025,-1212.6800000003468
145.0,66007.79999999977,-1242.97999999976
132.0,65877.59999999964,-1254.2999999995936
120.0,65860.59999999966,-1243.3599999999667
110.0,65950.59999999977,-1311.7599999998745
100.0,66000.59999999982,-1324.2800000000718
91.2,66002.9999999998,-1515.3800000003168
83.2,66024.5999999997,-1524.8000000005009
75.9,66098.59999999945,-1622.9599999998677
69.2,66126.99999999958,-1700.0000000001137
63.1,66221.19999999997,-1888.300000000189
57.5,66319.79999999986,-2110.5999999998576
52.5,66264.3999999995,-2213.879999999738
47.9,65544.00000000004,-1872.9600000000144
43.7,66400.60000000065,-2505.339999999957
39.8,66401.80000000054,-2729.539999999556
36.3,66320.40000000002,-2826.199999999932
33.1,66777.79999999951,-3169.800000000129
30.2,66869.39999999985,-3318.7999999998874
27.5,66965.20000000004,-3577.92000000027
25.1,67105.80000000016,-3893.02000000018
22.9,67252.00000000033,-4090.220000000136
20.9,67495.20000000032,-4328.200000000217
19.1,67410.80000000015,-4482.91999999999
17.4,67802.40000000008,-4835.659999999887
15.8,68200.60000000003,-5206.360000000157
14.5,68460.00000000015,-5449.239999999731
13.2,68860.60000000014,-5801.939999999785
12.0,69227.19999999988,-6211.359999999898
11.0,69728.20000000011,-6536.90000000027
10.0,69867.20000000039,-6817.499999999965
9.12,70460.2000000005,-7173.100000000369
8.32,70490.60000000003,-7357.040000000355
7.59,71103.40000000047,-7772.920000000089
6.92,71853.60000000056,-8290.52000000043
6.31,72380.40000000037,-8572.099999999791
5.75,73052.20000000033,-9023.939999999688
5.25,73552.0,-9372.52000000021
4.79,74082.39999999953,-9611.91999999998
4.37,74656.60000000008,-10139.49999999963
3.98,75295.6000000004,-10405.199999999966
3.63,75474.20000000046,-10624.739999999714
3.31,76471.20000000006,-10977.980000000252
3.02,76894.19999999994,-11250.339999999656
2.75,78251.99999999964,-11786.939999999746
2.51,79047.79999999957,-11999.36000000014
2.29,79724.79999999955,-12324.979999999605
2.09,80466.6,-12644.60000000002
1.91,81428.79999999994,-12964.000000000387
1.74,82325.39999999938,-13174.199999999752
1.58,83165.1999999995,-13425.999999999784
1.45,83848.39999999985,-13735.60000000041
1.32,84716.80000000015,-13987.40000000013
1.2,85819.40000000004,-14180.200000000028
1.1,86621.19999999974,-14429.799999999766
1.0,87317.80000000028,-14499.599999999731
