Ionic radius ,Temperature,Frequency,Re(Z),Img(Z)
1.82e-10,20,50100.0,40586.999999999854,34345.00000000003
1.82e-10,20,46400.0,43064.99999999977,36150.80000000026
1.82e-10,20,43000.0,44009.599999999744,36798.99999999985
1.82e-10,20,39800.0,45436.399999999805,38081.80000000015
1.82e-10,20,36900.0,46449.60000000017,38806.80000000021
1.82e-10,20,34100.0,48036.59999999995,40319.40000000032
1.82e-10,20,31600.0,49623.60000000011,41574.999999999476
1.82e-10,20,29300.0,50488.00000000018,42521.99999999919
1.82e-10,20,27100.0,52526.199999999604,44364.79999999966
1.82e-10,20,25100.0,54180.399999999696,45879.80000000006
1.82e-10,20,23300.0,55143.6000000001,46783.60000000026
1.82e-10,20,21500.0,56846.99999999987,48501.20000000013
1.82e-10,20,19900.0,58708.00000000014,50553.20000000006
1.82e-10,20,18500.0,59883.20000000016,51747.20000000001
1.82e-10,20,17100.0,61165.400000000176,52962.20000000001
1.82e-10,20,15800.0,63540.000000000124,55257.80000000004
1.82e-10,20,14700.0,64762.600000000035,56422.59999999993
1.82e-10,20,13600.0,67877.9999999998,59477.59999999963
1.82e-10,20,12600.0,70062.99999999965,61677.99999999944
1.82e-10,20,11700.0,72379.99999999964,63742.59999999934
1.82e-10,20,10800.0,77954.8000000001,68231.59999999931
1.82e-10,20,10000.0,81590.20000000026,71715.59999999925
1.82e-10,20,9260.0,83799.19999999981,73490.99999999936
1.82e-10,20,8570.0,89480.59999999958,77519.79999999933
1.82e-10,20,7940.0,92655.99999999943,79691.99999999946
1.82e-10,20,7350.0,96478.59999999932,82152.80000000002
1.82e-10,20,6810.0,101211.79999999993,84470.19999999883
1.82e-10,20,6310.0,103528.40000000049,85919.9999999991
1.82e-10,20,5840.0,103916.40000000049,85959.5999999991
1.82e-10,20,5410.0,108699.60000000056,87553.59999999897
1.82e-10,20,5010.0,115013.60000000066,89599.99999999885
1.82e-10,20,4640.0,127516.60000000079,93775.99999999865
1.82e-10,20,4300.0,132624.20000000048,95145.59999999902
1.82e-10,20,3980.0,140694.4,96708.99999999936
1.82e-10,20,3690.0,144565.99999999965,97087.20000000064
1.82e-10,20,3420.0,151727.9999999992,97185.40000000138
1.82e-10,20,3160.0,160312.00000000087,96257.40000000145
1.82e-10,20,2930.0,164796.00000000064,95549.20000000147
1.82e-10,20,2710.0,171405.99999999983,94374.20000000023
1.82e-10,20,2510.0,180682.00000000087,91760.79999999925
1.82e-10,20,2330.0,184874.00000000058,90536.99999999948
1.82e-10,20,2150.0,191711.99999999919,88070.40000000125
1.82e-10,20,2000.0,195260.00000000047,86457.60000000127
1.82e-10,20,1850.0,200419.9999999995,83198.200000001
1.82e-10,20,1710.0,204889.9999999987,80129.80000000107
1.82e-10,20,1580.0,211572.00000000148,75874.40000000085
1.82e-10,20,1470.0,214240.00000000186,74133.20000000071
1.82e-10,20,1360.0,219201.99999999884,69130.7999999994
1.82e-10,20,1260.0,221672.0000000005,66549.39999999934
1.82e-10,20,1170.0,223448.0000000007,64442.399999999645
1.82e-10,20,1080.0,229181.99999999968,57277.00000000061
1.82e-10,20,1000.0,231299.9999999993,54804.99999999944
1.82e-10,20,926.0,233315.99999999994,51211.19999999941
1.82e-10,20,858.0,234421.9999999991,48655.59999999953
1.82e-10,20,794.0,236051.99999999968,44603.199999999655
1.82e-10,20,736.0,236841.9999999998,42608.599999999664
1.82e-10,20,681.0,239072.00000000038,37130.79999999926
1.82e-10,20,631.0,239910.000000001,34640.19999999957
1.82e-10,20,584.0,241518.0000000002,30855.39999999918
1.82e-10,20,541.0,241204.0000000008,29099.199999999444
1.82e-10,20,501.0,241112.00000000116,25391.199999999502
1.82e-10,20,464.0,241272.0000000008,22712.39999999952
1.82e-10,20,430.0,241318.00000000073,21657.799999999595
1.82e-10,20,398.0,241857.99999999983,17682.399999999667
1.82e-10,20,369.0,241855.9999999998,15786.600000000082
1.82e-10,20,341.0,241062.00000000137,13215.00000000003
1.82e-10,20,316.0,241016.00000000148,11427.239999999701
1.82e-10,20,293.0,240944.00000000146,10780.620000000123
1.82e-10,20,271.0,240342.00000000067,9260.160000000113
1.82e-10,20,251.0,238711.99999999924,5909.279999999829
1.82e-10,20,233.0,238079.99999999927,4775.879999999896
1.82e-10,20,215.0,237212.0000000007,3602.770000000198
1.82e-10,20,200.0,236932.00000000064,3230.5100000001944
1.82e-10,20,185.0,235199.99999999933,535.2299999999308
1.82e-10,20,171.0,234363.99999999907,-272.0700000002218
1.82e-10,20,159.0,233937.99999999895,-714.7100000002384
1.82e-10,20,147.0,232001.9999999997,-1645.020000000247
1.82e-10,20,136.0,230768.0,-3048.469999999734
