Ionic radius ,Temperature,Frequency
1.82e-10,20,14.7
1.82e-10,20,13.6
1.82e-10,20,12.6
1.82e-10,20,11.7
1.82e-10,20,10.8
1.82e-10,20,10.0
1.82e-10,20,9.26
1.82e-10,20,8.58
1.82e-10,20,7.94
1.82e-10,20,7.36
1.82e-10,20,6.81
1.82e-10,20,6.31
1.82e-10,20,5.84
1.82e-10,20,5.41
1.82e-10,20,5.01
1.82e-10,20,4.64
1.82e-10,20,4.3
1.82e-10,20,3.98
1.82e-10,20,3.69
1.82e-10,20,3.41
1.82e-10,20,3.16
1.82e-10,20,2.93
1.82e-10,20,2.71
1.82e-10,20,2.51
1.82e-10,20,2.33
1.82e-10,20,2.15
1.82e-10,20,2.0
1.82e-10,20,1.85
1.82e-10,20,1.71
1.82e-10,20,1.58
1.82e-10,20,1.47
1.82e-10,20,1.36
1.82e-10,20,1.26
1.82e-10,20,1.17
1.82e-10,20,1.08
1.82e-10,20,1.0
1.82e-10,60,1000000.0
1.82e-10,60,926000.0
1.82e-10,60,858000.0
1.82e-10,60,794000.0
1.82e-10,60,736000.0
1.82e-10,60,681000.0
1.82e-10,60,631000.0
1.82e-10,60,584000.0
1.82e-10,60,541000.0
1.82e-10,60,501000.0
1.82e-10,60,464000.0
1.82e-10,60,430000.0
1.82e-10,60,398000.0
1.82e-10,60,369000.0
1.82e-10,60,341000.0
1.82e-10,60,316000.0
1.82e-10,60,293000.0
1.82e-10,60,271000.0
1.82e-10,60,251000.0
1.82e-10,60,233000.0
1.82e-10,60,215000.0
1.82e-10,60,200000.0
1.82e-10,60,185000.0
1.82e-10,60,171000.0
1.82e-10,60,158000.0
1.82e-10,60,147000.0
1.82e-10,60,136000.0
1.82e-10,60,126000.0
1.82e-10,60,117000.0
1.82e-10,60,108000.0
1.82e-10,60,100000.0
1.82e-10,60,92600.0
1.82e-10,60,85800.0
1.82e-10,60,79400.0
1.82e-10,60,73600.0
1.82e-10,60,68100.0
1.82e-10,60,63100.0
1.82e-10,60,58400.0
1.82e-10,60,54100.0
1.82e-10,60,50100.0
1.82e-10,60,46400.0
1.82e-10,60,43000.0
1.82e-10,60,39800.0
1.82e-10,60,36900.0
1.82e-10,60,34100.0
1.82e-10,60,31600.0
1.82e-10,60,29300.0
1.82e-10,60,27100.0
1.82e-10,60,25100.0
1.82e-10,60,23300.0
1.82e-10,60,21500.0
1.82e-10,60,19900.0
1.82e-10,60,18500.0
1.82e-10,60,17100.0
1.82e-10,60,15800.0
1.82e-10,60,14700.0
1.82e-10,60,13600.0
1.82e-10,60,12600.0
1.82e-10,60,11700.0
1.82e-10,60,10800.0
1.82e-10,60,10000.0
1.82e-10,60,9260.0
1.82e-10,60,8570.0
1.82e-10,60,7940.0
1.82e-10,60,7350.0
1.82e-10,60,6810.0
1.82e-10,60,6310.0
1.82e-10,60,5840.0
1.82e-10,60,5410.0
1.82e-10,60,5010.0
1.82e-10,60,4640.0
1.82e-10,60,4300.0
1.82e-10,60,3980.0
1.82e-10,60,3690.0
1.82e-10,60,3420.0
1.82e-10,60,3160.0
1.82e-10,60,2930.0
1.82e-10,60,2710.0
1.82e-10,60,2510.0
1.82e-10,60,2330.0
1.82e-10,60,2150.0
1.82e-10,60,2000.0
1.82e-10,60,1850.0
1.82e-10,60,1710.0
1.82e-10,60,1580.0
1.82e-10,60,1470.0
1.82e-10,60,1360.0
1.82e-10,60,1260.0
1.82e-10,60,1170.0
1.82e-10,60,1080.0
1.82e-10,60,1000.0
1.82e-10,60,926.0
1.82e-10,60,858.0
1.82e-10,60,794.0
1.82e-10,60,736.0
1.82e-10,60,681.0
1.82e-10,60,631.0
1.82e-10,60,584.0
1.82e-10,60,541.0
1.82e-10,60,501.0
1.82e-10,60,464.0
